"OBJECTID","DATATYPE","GENUSSPECI","DBH_IN","LU","CROWN_COMPACTNESS","HEIGHT_MAX","HEIGHT_MEAN","CROWN_AREA","HU_DENS","RELBORDER_TREE","NDVI_MAX","NDVI_MEAN","NDVI_STD","BLDG_AGE","IS_CLEANED_CROWN_AREA","IS_CLEANED_CROWN_COMPACTNESS","IS_CLEANED_DBH_IN","IS_CLEANED_HEIGHT_MAX","IS_CLEANED_HEIGHT_MEAN","IS_CLEANED_NDVI_MEAN","IS_CLEANED_NDVI_MAX"
236237,"Point","Picea pungens",12,6,1.40366972477064,26.7506713867187,14.5870977279243,1362.49455002,6.20887,0,0.50248754025,0.36283826303,0.05622755378,40,0,0,0,0,0,0,0
236254,"Point","Picea pungens",13,6,1.49848858029865,31.9662475585937,19.0082724294354,968.746125012,6.20887,0.442857142857142,0.70860928297,0.42080487151,0.07317353797,40,0,0,0,0,0,0,0
236258,"Point","Picea pungens",12,6,1.4516129032258,20.97998046875,9.57020814957157,387.498450005,6.20887,0,0.67320263386,0.37815293852,0.08083987139,40,0,0,0,0,0,0,0
236264,"Point","Picea pungens",13,6,1.51413077193639,37.5656127929687,18.4077650500882,2712.48915003,6.20887,0.311475409836065,0.82524269819,0.45392615676,0.09741214338,40,0,0,0,0,0,0,0
236270,"Point","Picea pungens",12,6,1.39999999999999,10.97314453125,4.99352539062499,156.249375002,6.20887,0,0.50837987661,0.46305363272,0.03378084645,40,0,0,0,0,0,0,0
236275,"Point","Picea pungens",12,6,1.40111594542866,53.4437866210937,32.3728076469607,2562.48975003,6.20887,0.692307692307692,0.56060606241,0.42468155753,0.07273257421,40,0,0,0,0,0,0,0
236282,"Point","Picea pungens",13,6,1.6867469879518,37.0900268554687,19.1963106331576,1556.24377502,6.20887,0.489361702127659,0.63291138411,0.37530950487,0.07841645323,40,0,0,0,0,0,0,0
236293,"Point","Picea pungens",13,6,1.6867469879518,37.0900268554687,19.1963106331576,1556.24377502,6.20887,0.489361702127659,0.63291138411,0.37530950487,0.07841645323,40,0,0,0,0,0,0,0
236573,"Point","Pinus nigra",12,6,1.23287671232876,20.5762329101562,10.8620981712863,456.248175005,6.20887,0,0.73846155405,0.49507826865,0.12648494369,40,0,0,0,0,0,0,0
236837,"Point","Pyrus calleryana",13,6,1.34278488726779,32.677490234375,19.0369278928066,1174.99530001,6.20887,0,0.62841528654,0.42050012382,0.06838583914,40,0,0,0,0,0,0,0
